Наименование товара,Токенизированное наименование,Единица измерения,Цена в чеке,Кол-во единиц,Дата,Регион,kkt,ОКАТО,Товар представитель,Объем,Требуемая упаковка,Цена за требуемую упаковку,Факт упаковка
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,1.012,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",64281aa53705efdddf1d8a2222dbc7ce,68222551000,Бананы,1.01,1,71.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,1.54,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",64281aa53705efdddf1d8a2222dbc7ce,68222551000,Бананы,1.54,1,71.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,0.884,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",64281aa53705efdddf1d8a2222dbc7ce,68222551000,Бананы,0.88,1,71.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,0.874,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",64281aa53705efdddf1d8a2222dbc7ce,68222551000,Бананы,0.87,1,71.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,0.962,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",64281aa53705efdddf1d8a2222dbc7ce,68222551000,Бананы,0.96,1,71.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,66.9,1.248,2019-01-27,"Республика Башкортостан, г Уфа",959b8cb75e077073906e924514aee6aa,80401000000,Бананы,1.25,1,66.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,66.9,1.79,2019-01-27,"Республика Башкортостан, г Уфа",959b8cb75e077073906e924514aee6aa,80401000000,Бананы,1.79,1,66.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.196,2019-01-27,"Нижегородская область, г. Нижний Новгород",8d4e7ed20cb5a04ee14d07f9e344662a,22401000000,Бананы,0.2,1,63.9,1.0
809 Бананы 1кг,бананы 1 кг,кг,64.99,0.895,2019-01-27,"Нижегородская область, Нижний Новгород",7b2b1ba4ada7dfef80c903400403da97,22401000000,Бананы,0.9,1,64.99,1.0
809 Бананы 1кг,бананы 1 кг,кг,1.62,1.025,2019-01-27,"Нижегородская область, Нижний Новгород",7b2b1ba4ada7dfef80c903400403da97,22401000000,Бананы,1.02,1,1.62,1.0
809 Бананы 1кг,бананы 1 кг,кг,64.99,1.53,2019-01-27,"Нижегородская область, Нижний Новгород",7b2b1ba4ada7dfef80c903400403da97,22401000000,Бананы,1.53,1,64.99,1.0
809 Бананы 1кг,бананы 1 кг,кг,61.74,0.845,2019-01-27,"Нижегородская область, НИЖНИЙ НОВГОРОД Г",c2f38c6026ec4f13a0c9c0c953fd4685,22401000000,Бананы,0.84,1,61.74,1.0
809 Бананы 1кг,бананы 1 кг,кг,61.75,0.25,2019-01-27,"Нижегородская область, НИЖНИЙ НОВГОРОД Г",c2f38c6026ec4f13a0c9c0c953fd4685,22401000000,Бананы,0.25,1,61.75,1.0
809 Бананы 1кг,бананы 1 кг,кг,61.74,0.625,2019-01-27,"Нижегородская область, НИЖНИЙ НОВГОРОД Г",c2f38c6026ec4f13a0c9c0c953fd4685,22401000000,Бананы,0.62,1,61.74,1.0
